dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
3086,1982,1982,0,0,3,0,1,1,0,1.0,[652],[645]
3088,1982,1982,0,0,2,0,1,1,0,1.0,[620],[2]
3089,1982,1982,0,0,3,1,1,1,0,1.0,[365],[325]
3090,1982,1982,1,-9,4,1,1,1,0,201.0,[490],[551]
3092,1981,1981,0,0,3,1,1,1,0,1.0,[666],[670]
3093,1981,1981,0,0,3,1,1,1,0,16.0,[365],[380]
3095,1981,1981,0,0,4,0,1,1,0,1.0,[630],[690]
3096,1981,1981,1,-9,4,1,1,1,0,1.0,[750],[771]
3097,1981,1981,1,-9,4,1,1,1,0,1.0,[630],[640]
3098,1981,1981,-9,-9,4,1,1,5,0,88.0,[620],[698 625   2 520 651]
3099,1981,1981,-9,-9,4,1,2,1,0,4.0,[651   2],[620]
3100,1981,1981,0,0,4,0,1,1,0,8.0,[630],[390]
3101,1981,1981,-9,-9,3,0,1,1,0,1.0,[666],[645]
3102,1981,1981,4,-9,4,1,1,1,0,105.0,[816],[710]
3104,1981,1981,1,-9,4,1,1,1,0,1.0,[475],[471]
3105,1980,1981,0,0,4,0,1,1,0,88.0,[130],[2]
3106,1982,1982,0,0,4,0,1,1,0,3.0,[652],[663]
3107,1980,1981,0,0,3,1,1,2,0,44.0,[652],[666 663]
3108,1980,1980,0,0,4,0,1,1,0,4.0,[630],[690]
3109,1980,1980,0,0,4,0,1,1,0,1.0,[750],[771]
3111,1980,1980,0,0,4,0,1,1,0,1.0,[775],[800]
3112,1980,1981,0,0,4,0,1,1,0,185.0,[490],[551]
3113,1980,1980,0,0,3,0,1,1,0,1.0,[600],[615]
3114,1980,1980,0,0,4,0,1,1,0,1.0,[812],[800]
3115,1980,1980,0,0,3,0,2,1,0,1.0,[365 680],[698]
3116,1980,1980,0,0,2,0,1,1,0,1.0,[345],[365]
3117,1980,1980,0,0,3,0,1,1,0,154.0,[820],[840]
3118,1980,1980,0,0,3,1,1,1,0,270.0,[651],[620]
3119,1980,1980,0,0,4,0,1,1,0,152.0,[600],[435]
3120,1980,1980,0,0,3,0,1,1,0,1.0,[100],[93]
3121,1980,1980,0,0,3,0,1,1,0,1.0,[490],[484]
3122,1977,1977,0,0,4,0,1,1,0,11.0,[160],[365]
3126,1977,1977,3,-9,4,1,1,1,0,61.0,[651],[620]
3127,1977,1977,1,-9,4,1,1,2,0,120.0,[560],[551 510]
3129,1977,1977,-9,-9,4,1,1,1,0,4.0,[520],[501]
3130,1977,1977,0,0,3,0,1,1,0,2.0,[800],[775]
3131,1977,1979,-9,-9,4,1,1,2,0,955.0,[552],[551 510]
3132,1907,1908,-9,-9,4,1,1,1,0,382.0,[640],[630]
3133,1909,1910,0,0,3,0,1,1,0,185.0,[365],[630]
3134,1919,1921,6,-9,5,1,1,1,0,720.0,[220],[640]
3135,1966,1966,0,0,3,0,1,1,0,36.0,[200],[235]
3136,1887,1887,0,0,3,0,1,1,0,36.0,[200],[41]
3138,1831,1831,0,0,4,0,1,1,0,14.0,[220],[235]
3139,1911,1911,-9,-9,4,1,1,1,0,77.0,[220],[600]
3150,1959,1959,0,0,4,1,1,1,0,2.0,[663],[651]
3151,1958,1958,0,0,4,0,1,1,0,1.0,[663],[652]
3152,1958,1958,-9,-9,4,1,1,1,0,40.0,[640],[652]
3154,1955,1956,1,-9,4,1,1,1,0,404.0,[640],[652]
3155,1955,1955,0,0,3,1,1,1,0,5.0,[652],[640]
3156,1934,1934,0,0,4,1,1,1,0,1.0,[220],[640]
3157,1934,1934,1,-9,4,0,1,1,0,1.0,[640],[200]
3158,1935,1935,0,0,3,0,1,1,0,8.0,[640],[355]
3159,1934,1934,0,0,4,0,1,1,0,1.0,[700],[630]
3160,1933,1933,0,0,4,0,1,1,0,1.0,[365],[630]
3161,1949,1949,0,0,3,1,2,1,0,111.0,[645 652],[663]
3162,1960,1960,0,0,4,0,1,1,0,5.0,[663],[651]
3163,1962,1962,0,0,4,0,1,1,0,1.0,[365],[640]
3165,1962,1962,1,-9,4,1,1,1,0,1.0,[640],[652]
3166,1963,1963,1,-9,4,0,1,1,0,82.0,[652],[660]
3167,1963,1963,0,0,3,0,1,1,0,1.0,[652],[660]
3168,1965,1965,1,-9,4,1,1,1,0,1.0,[652],[640]
3169,1965,1965,0,0,4,0,1,1,0,1.0,[645],[640]
3170,1967,1967,0,0,3,1,1,1,0,1.0,[670],[666]
3171,1966,1966,1,-9,4,1,1,1,0,309.0,[663],[652]
3172,1967,1967,0,0,3,1,1,1,0,11.0,[645],[690]
3173,1969,1969,-9,-9,4,1,1,1,0,197.0,[652],[660]
3174,1974,1974,0,0,3,1,1,1,0,27.0,[365],[666]
3175,1975,1975,0,0,4,1,1,1,0,70.0,[651],[620]
3176,1976,1976,0,0,3,1,1,1,0,173.0,[645],[652]
3179,1976,1976,0,0,4,0,1,1,0,1.0,[652],[200]
3180,1981,1982,0,0,3,0,1,1,0,7.0,[666],[645]
3181,1922,1922,0,0,3,1,5,2,0,23.0,[200 345 310 325 315],[360 305]
3182,1922,1923,0,0,3,1,2,1,0,384.0,[345 360],[310]
3183,1925,1925,0,0,3,1,1,1,0,82.0,[350],[640]
3184,1926,1926,0,0,3,1,1,1,0,16.0,[355],[360]
3185,1925,1926,0,0,3,1,2,1,0,200.0,[200 220],[640]
3186,1931,1931,1,-9,4,0,1,1,0,1.0,[355],[350]
3187,1928,1928,1,-9,4,0,1,1,0,1.0,[350],[355]
3188,1929,1929,0,0,4,0,1,1,0,1.0,[355],[345]
3189,1937,1937,0,0,3,0,1,1,0,1.0,[640],[220]
3190,1938,1938,0,0,3,1,1,1,0,26.0,[640],[220]
3191,1939,1940,0,0,3,1,1,1,0,106.0,[365],[700]
3192,1946,1946,0,0,4,1,1,1,0,1.0,[200],[345]
3193,1946,1946,1,-9,4,1,1,1,0,23.0,[2],[345]
3195,1951,1951,0,0,3,1,1,2,0,115.0,[200],[630 365]
3196,1950,1950,0,0,4,0,1,1,0,148.0,[365],[200]
3197,1950,1950,0,0,3,0,1,1,0,1.0,[350],[355]
3199,1951,1951,0,0,4,0,1,1,0,1.0,[630],[365]
3200,1952,1952,0,0,4,1,1,1,0,1.0,[640],[355]
3202,1952,1952,0,0,3,0,1,1,0,7.0,[325],[339]
3203,1953,1953,0,0,4,0,1,1,0,1.0,[713],[315]
3205,1954,1954,0,0,4,1,1,1,0,2.0,[345],[325]
3206,1969,1969,0,0,4,1,1,1,0,92.0,[235],[490]
3207,1953,1954,0,0,4,0,1,1,0,247.0,[365],[740]
3208,1953,1954,0,0,4,0,1,1,0,203.0,[710],[740]
3209,1954,1954,0,0,3,1,1,1,0,1.0,[2],[225]
3210,1954,1954,0,0,3,0,1,1,0,1.0,[365],[375]
3211,1955,1955,0,0,4,0,1,1,0,1.0,[713],[770]
3213,1955,1955,0,0,4,1,1,1,0,1.0,[710],[732]
3214,1955,1955,0,0,4,0,1,1,0,1.0,[365],[380]
3215,1973,1973,0,0,4,1,1,1,0,122.0,[551],[560]
3216,1955,1955,0,0,4,0,1,1,0,26.0,[339],[325]
3217,1974,1974,0,0,3,0,1,3,0,5.0,[817],[710 840 713]
3218,1955,1956,0,0,3,0,1,1,0,78.0,[200],[670]
3219,1955,1955,0,0,4,0,1,1,0,1.0,[355],[666]
3221,1956,1956,0,0,4,0,1,1,0,1.0,[713],[260]
3225,1956,1956,0,0,4,0,1,1,0,9.0,[385],[365]
3227,1974,1974,-9,-9,4,1,1,1,0,12.0,[560],[551]
3229,1949,1949,1,-9,4,1,1,2,0,88.0,[666],[200 663]
3230,1957,1959,2,-9,4,1,1,1,0,752.0,[663],[666]
3231,1959,1961,2,-9,4,1,1,1,0,737.0,[666],[663]
3232,1895,1895,0,0,4,0,1,1,0,1.0,[230],[2]
3239,1816,1816,0,0,4,0,1,1,0,1.0,[2],[230]
3242,1955,1955,0,0,4,0,1,1,0,18.5,[130],[2]
3243,1955,1955,0,0,4,0,1,1,0,17.5,[135],[2]
3244,1962,1962,0,0,4,0,1,1,0,4.0,[135],[2]
3245,1862,1864,-9,-9,4,1,1,1,0,854.5,[365],[710]
3247,1871,1872,0,0,4,0,1,1,0,185.0,[365],[710]
3249,1891,1892,0,0,4,1,1,1,0,459.0,[365],[710]
3250,1900,1900,6,-9,5,1,1,1,0,57.0,[365],[710]
3254,1912,1913,-9,-9,4,1,1,1,0,447.0,[365],[710]
3255,1912,1912,0,0,4,0,1,1,0,87.0,[365],[710]
3257,1921,1921,0,0,4,0,1,1,0,123.0,[365],[710]
3258,1914,1914,0,0,4,0,1,1,0,184.5,[365],[710]
3259,1921,1922,0,0,4,0,1,1,0,182.5,[365],[710]
3260,1926,1926,0,0,2,0,1,1,0,16.0,[740],[365]
3263,1943,1943,0,0,4,0,1,1,0,92.5,[365],[710]
3264,1944,1945,-9,-9,4,1,1,1,0,281.0,[365],[710]
3265,1947,1948,-9,-9,4,1,2,1,0,280.0,[712 365],[710]
3267,1973,1973,0,0,3,0,1,1,0,1.0,[500],[551]
3300,1968,1968,0,0,4,1,1,1,0,55.0,[840],[811]
3301,1903,1903,0,0,2,0,1,1,0,20.0,[2],[200]
3321,1817,1817,0,0,3,1,1,1,0,51.0,[365],[640]
3322,1876,1876,0,0,2,0,3,1,0,1.0,[365 300 255],[640]
3323,1876,1876,0,0,3,0,1,1,0,16.0,[200],[365]
3325,1902,1902,0,0,3,0,1,1,0,13.0,[365],[640]
3326,1853,1853,0,0,4,1,1,1,0,69.0,[300],[325]
3330,1911,1911,0,0,3,0,1,1,0,1.0,[325],[220]
3340,1919,1919,0,0,4,0,1,1,0,1.0,[230],[255]
3341,1914,1914,0,0,4,0,1,2,0,19.0,[360],[640 255]
3343,1914,1914,0,0,3,0,1,1,0,1.0,[350],[355]
3344,1914,1914,0,0,3,1,1,1,0,6.0,[350],[640]
3345,1918,1918,0,0,4,0,1,1,0,1.0,[640],[365]
3346,1918,1918,0,0,4,0,1,1,0,16.0,[255],[365]
3348,1916,1918,0,0,4,0,1,4,0,1043.0,[339],[300 640 355 255]
3349,1915,1918,0,0,4,0,1,1,0,1181.0,[255],[230]
3351,1914,1914,0,0,4,0,1,1,0,1.0,[365],[210]
3352,1915,1915,0,0,3,0,1,1,0,33.0,[355],[640]
3360,1960,1960,3,-9,4,1,1,1,0,1.0,[816],[817]
3361,1961,1962,0,0,3,1,1,3,0,73.0,[2],[710 365 816]
3362,1926,1926,0,0,4,1,1,1,0,1.0,[325],[345]
3364,1939,1939,-9,-9,4,0,1,1,0,4.0,[310],[315]
3370,1950,1951,0,0,4,1,1,1,0,153.0,[666],[651]
3371,1951,1951,0,0,3,0,1,1,0,1.0,[651],[666]
3372,1951,1952,3,-9,4,1,1,1,0,288.0,[666],[651]
3373,1953,1956,3,-9,4,1,1,1,0,1352.0,[666],[651]
3374,1952,1954,0,0,4,1,1,1,0,458.0,[651],[666]
3375,1957,1961,3,-9,4,1,1,1,0,1487.0,[666],[651]
3377,1963,1963,-9,-9,4,1,1,1,0,1.0,[651],[666]
3378,1964,1965,0,0,4,1,1,1,0,316.0,[651],[666]
3379,1966,1966,-9,-9,4,1,1,1,0,285.0,[651],[666]
3380,1973,1975,-9,-9,4,1,1,1,0,639.0,[651],[666]
3381,1975,1976,0,0,2,0,1,1,0,144.0,[651],[666]
3382,1977,1977,0,0,3,0,1,1,0,6.0,[666],[651]
3383,1979,1979,-9,-9,3,0,1,1,0,1.0,[666],[651]
3384,1983,1983,0,0,3,0,1,1,0,2.0,[651],[666]
3385,1983,1985,0,0,4,1,1,1,0,690.0,[651],[666]
3386,1949,1950,-9,-9,4,1,1,1,0,16.0,[651],[666]
3387,1970,1971,-9,-9,4,1,1,1,0,436.0,[651],[666]
3400,1950,1950,0,0,4,0,1,1,0,1.0,[652],[666]
3401,1951,1951,0,0,4,1,1,1,0,1.0,[652],[666]
3403,1954,1954,0,0,4,0,1,1,0,1.0,[652],[666]
3404,1954,1955,1,-9,4,1,1,1,0,326.0,[652],[666]
3405,1955,1960,1,-9,4,1,2,1,0,1701.0,[652 651],[666]
3406,1961,1961,0,0,4,1,1,1,0,185.0,[651],[666]
3411,1950,1950,1,-9,4,1,1,1,0,201.0,[652],[666]
3412,1966,1966,0,0,4,1,3,1,0,72.0,[652 663 651],[666]
3413,1951,1952,1,-9,4,1,1,1,0,197.0,[652],[666]
3414,1952,1952,0,0,4,0,1,1,0,108.0,[666],[652]
3415,1954,1954,0,0,4,1,1,1,0,136.0,[652],[666]
3416,1955,1955,0,0,4,0,1,1,0,1.0,[666],[652]
3417,1953,1958,2,-9,4,1,1,1,0,1803.5,[652],[666]
